City,Country,Latitude,Longitude,Distance,City Code
Detroit,United States,42.3834,-83.1024,9441.841092,227
Baicheng,China,23.901,106.6194,11693.31808,228
Busan,"Korea, South",35.1,129.0403,13457.01121,229
Algiers,Algeria,36.7764,3.0586,4101.563871,230
Qincheng,China,34.5809,105.7311,11442.02332,231
Taiyuan,China,37.8733,112.5425,11966.50181,232
Lucknow,India,26.847,80.947,9110.360577,233
Chaoyang,China,41.5757,120.4486,12485.01126,234
Hechi,China,24.6928,108.085,11829.40782,235
Leshan,China,29.5854,103.7575,11334.93292,236
Yulinshi,China,38.2655,109.7388,11717.65017,237
Siping,China,43.1715,124.3644,12710.88252,238
Madrid,Spain,40.4189,-3.6919,4509.976342,239
Jinan,China,36.6667,116.9833,12381.02564,240
Shiyan,China,32.6351,110.7755,11940.36207,241
Changzhi,China,36.1953,113.097,12060.0453,242
San Diego,United States,32.8312,-117.1225,12512.39957,243
Faisalabad,Pakistan,31.418,73.079,8408.550559,244
Santa Cruz,Bolivia,-17.7892,-63.1975,7180.372311,245
Bazhou,China,31.8576,106.7559,11583.86554,246
Zhongshan,China,22.5333,113.35,12395.67516,247
Zhenjiang,China,32.2109,119.4551,12741.65377,248
Urumqi,China,43.825,87.6,9815.247496,249
Tongliao,China,43.6172,122.264,12535.81725,250
Heyuan,China,23.7503,114.6923,12507.50861,251
Tongren,China,27.7233,109.1885,11888.61974,252
Qinzhou,China,21.95,108.6167,11922.9286,253
Jaipur,India,26.9167,75.8667,8609.398046,254
Xinzhou,China,38.4178,112.7233,11966.71356,255
Addis Ababa,Ethiopia,9.0272,38.7369,4404.884049,256
Giza,Egypt,29.987,31.2118,4692.838093,257
Meishan,China,30.0575,103.8381,11336.28723,258
Brasilia,Brazil,-15.7744,-48.0773,5558.386943,259
Mashhad,Iran,36.3069,59.6042,7332.024537,260
Jinzhou,China,41.1144,121.1292,12556.66741,261
Tieling,China,42.2841,123.8365,12712.89191,262
Shaoguan,China,24.8011,113.5927,12376.72232,263
Shanwei,China,22.7664,115.3331,12591.7108,264
Minneapolis,United States,44.9635,-93.2678,10264.7944,265
Kyiv,Ukraine,50.45,30.5236,6308.793407,266
Sanaa,Yemen,15.35,44.2,5144.436514,267
Quezon City,Philippines,14.6333,121.0333,13334.95255,268
Dingxi,China,35.5806,104.6263,11325.56729,269
Salvador,Brazil,-12.9708,-38.5108,4482.661395,270
Incheon,"Korea, South",37.4639,126.6486,13152.45562,271
Bursa,Turkey,40.1833,29.0667,5349.178282,272
Ningde,China,26.6667,119.5167,12912.37235,273
Tampa,United States,27.9942,-82.4451,9266.444058,274
Daqing,China,46.5979,125.008,12589.26353,275
Birmingham,United Kingdom,52.48,-1.9025,5838.331577,276
Putian,China,25.4394,119.0103,12895.86501,277
Huzhou,China,30.8695,120.0958,12842.58623,278
Wuzhou,China,23.4833,111.3167,12173.45433,279
Denver,United States,39.7621,-104.8759,11273.39261,280
Rome,Italy,41.8931,12.4828,4823.917995,281
La Paz,Bolivia,-16.4942,-68.1475,7682.622335,282
Pyongyang,"Korea, North",39.03,125.73,13007.54154,283
Kano,Nigeria,12,8.5167,1632.249908,284
Taichung,Taiwan,24.15,120.6667,13091.96035,285
Omdurman,Sudan,15.6835,32.4629,3967.091105,286
Zigong,China,29.3498,104.7645,11434.91949,287
Qinhuangdao,China,39.9398,119.5881,12481.40137,288
Mudanjiang,China,44.5861,129.5997,13009.92656,289
Huludao,China,40.7094,120.8378,12550.36003,290
Kaohsiung,Taiwan,22.6167,120.3,13094.30493,291
Xiangtan,China,27.8431,112.9228,12247.84202,292
Guayaquil,Ecuador,-2.1833,-79.8833,8883.63392,293
Rizhao,China,35.4164,119.4331,12632.9119,294
Manchester,United Kingdom,53.4794,-2.2453,5950.387255,295
