City,Country,Latitude,Longitude,Distance
Qincheng,China,34.5809,105.7311,0
Taiyuan,China,37.8733,112.5425,0
Lucknow,India,26.847,80.947,0
Chaoyang,China,41.5757,120.4486,0
Hechi,China,24.6928,108.085,0
Leshan,China,29.5854,103.7575,0
Yulinshi,China,38.2655,109.7388,0
Siping,China,43.1715,124.3644,0
Madrid,Spain,40.4189,-3.6919,0
Jinan,China,36.6667,116.9833,0
Shiyan,China,32.6351,110.7755,0
Changzhi,China,36.1953,113.097,0
San Diego,United States,32.8312,-117.1225,0
Faisalabad,Pakistan,31.418,73.079,0
Santa Cruz,Bolivia,-17.7892,-63.1975,0
Bazhou,China,31.8576,106.7559,0
Zhongshan,China,22.5333,113.35,0
Zhenjiang,China,32.2109,119.4551,0
Urumqi,China,43.825,87.6,0
Tongliao,China,43.6172,122.264,0
Heyuan,China,23.7503,114.6923,0
Tongren,China,27.7233,109.1885,0
Qinzhou,China,21.95,108.6167,0
Jaipur,India,26.9167,75.8667,0
Xinzhou,China,38.4178,112.7233,0
Addis Ababa,Ethiopia,9.0272,38.7369,0
Giza,Egypt,29.987,31.2118,0
Meishan,China,30.0575,103.8381,0
Brasilia,Brazil,-15.7744,-48.0773,0
Mashhad,Iran,36.3069,59.6042,0
Jinzhou,China,41.1144,121.1292,0
Tieling,China,42.2841,123.8365,0
Shaoguan,China,24.8011,113.5927,0
Shanwei,China,22.7664,115.3331,0
Minneapolis,United States,44.9635,-93.2678,0
Kyiv,Ukraine,50.45,30.5236,0
Sanaa,Yemen,15.35,44.2,0
Quezon City,Philippines,14.6333,121.0333,0
Dingxi,China,35.5806,104.6263,0
Salvador,Brazil,-12.9708,-38.5108,0
Incheon,"Korea, South",37.4639,126.6486,0
Bursa,Turkey,40.1833,29.0667,0
Ningde,China,26.6667,119.5167,0
Tampa,United States,27.9942,-82.4451,0
Daqing,China,46.5979,125.008,0
Birmingham,United Kingdom,52.48,-1.9025,0
Putian,China,25.4394,119.0103,0
Huzhou,China,30.8695,120.0958,0
Wuzhou,China,23.4833,111.3167,0
Denver,United States,39.7621,-104.8759,0
Rome,Italy,41.8931,12.4828,0
La Paz,Bolivia,-16.4942,-68.1475,0
Pyongyang,"Korea, North",39.03,125.73,0
Kano,Nigeria,12,8.5167,0
Taichung,Taiwan,24.15,120.6667,0
Omdurman,Sudan,15.6835,32.4629,0
Zigong,China,29.3498,104.7645,0
Qinhuangdao,China,39.9398,119.5881,0
Mudanjiang,China,44.5861,129.5997,0
Huludao,China,40.7094,120.8378,0
Kaohsiung,Taiwan,22.6167,120.3,0
Xiangtan,China,27.8431,112.9228,0
Guayaquil,Ecuador,-2.1833,-79.8833,0
Rizhao,China,35.4164,119.4331,0
Manchester,United Kingdom,53.4794,-2.2453,0
Cawnpore,India,26.4725,80.3311,0
Baotou,China,40.6562,109.8345,0
Taipei,Taiwan,25.0478,121.5319,0
Nanping,China,26.6448,118.1728,0
Longyan,China,25.0881,117.0244,0
Ibadan,Nigeria,7.3964,3.9167,0
Hohhot,China,40.8151,111.6629,0
Chaozhou,China,23.67,116.63,0
Antananarivo,Madagascar,-18.9386,47.5214,0
Longba,China,33.535,105.349,0
