City,Country,Latitude,Longitude,Distance
Chuzhou,China,32.3062,118.3115,3909.262520513707
Fuzhou,China,27.9814,116.3577,3820.444184752132
Amman,Jordan,31.95,35.9333,3868.2091304040146
Jeddah,Saudi Arabia,21.5428,39.1728,3878.7417671594053
Sialkot City,Pakistan,32.5,74.5333,300.19198273053263
Huizhou,China,23.1115,114.4152,3798.8130088022335
Qingyuan,China,23.6842,113.0507,3646.0424506160366
Zhuzhou,China,27.8407,113.1469,3518.3364748172553
Wuhu,China,31.334,118.3622,3931.535936470386
Hechi,China,23.0965,109.6091,3341.584686543983
Seattle,United States,47.6211,-122.3244,11100.174093936466
Loudi,China,27.7378,111.9974,3411.4259115811424
Binzhou,China,37.3806,118.0125,3833.2511805501613
Liuzhou,China,24.3181,109.4069,3274.178629703277
Yokohama,Japan,35.4333,139.6333,5775.559461384661
Baojishi,China,34.3609,107.1751,2860.2634900974017
Guang'an,China,30.4673,106.6336,2841.300622041959
Hanzhong,China,33.0794,107.026,2850.368987720413
Kabul,Afghanistan,34.5328,69.1658,839.0752169817385
Zaozhuang,China,34.8667,117.55,3806.11725419179
Berlin,Germany,52.5167,13.3833,5595.578584634668
Anshan,China,41.1066,122.9895,4260.514709064453
Deyang,China,31.1289,104.395,2620.0033728012804
Lanzhou,China,36.0617,103.8318,2565.587541677187
Chengde,China,40.9739,117.9322,3836.1694498739544
San Francisco,United States,37.7562,-122.443,12146.011550811541
Puyang,China,35.7639,115.03,3572.0281921990013
Suining,China,30.5098,105.5737,2740.0653089183934
Jiaozuo,China,35.229,113.2304,3411.2497197822872
Bengbu,China,32.9354,117.3531,3810.6097415322834
Montreal,Canada,45.5089,-73.5617,11033.486497639471
Detroit,United States,42.3834,-83.1024,11637.177512872551
Baicheng,China,23.901,106.6194,3025.0815347558046
Busan,"Korea, South",35.1,129.0403,4841.332642191642
Algiers,Algeria,36.7764,3.0586,6690.13344505131
Qincheng,China,34.5809,105.7311,2728.0531997343337
Taiyuan,China,37.8733,112.5425,3352.462242343335
Lucknow,India,26.847,80.947,582.3205690125915
Chaoyang,China,41.5757,120.4486,4050.21664731146
Hechi,China,24.6928,108.085,3134.1963644676175
Leshan,China,29.5854,103.7575,2582.6190209861215
Yulinshi,China,38.2655,109.7388,3111.043923739177
Siping,China,43.1715,124.3644,4379.902109393049
Madrid,Spain,40.4189,-3.6919,7118.094275971063
Jinan,China,36.6667,116.9833,3743.935530128075
Shiyan,China,32.6351,110.7755,3203.219939011961
Changzhi,China,36.1953,113.097,3397.1823965873987
San Diego,United States,32.8312,-117.1225,12802.013319947104
Faisalabad,Pakistan,31.418,73.079,370.38677103594586
Santa Cruz,Bolivia,-17.7892,-63.1975,15746.939813745694
Bazhou,China,31.8576,106.7559,2834.7522123977574
Zhongshan,China,22.5333,113.35,3720.7886825436453
Zhenjiang,China,32.2109,119.4551,4017.1417278537547
Urumqi,China,43.825,87.6,1740.2241406130147
Tongliao,China,43.6172,122.264,4213.3843545781965
Heyuan,China,23.7503,114.6923,3800.307151274195
Tongren,China,27.7233,109.1885,3143.5192029703708
Qinzhou,China,21.95,108.6167,3296.9510062710724
Jaipur,India,26.9167,75.8667,429.20376557880826
Xinzhou,China,38.4178,112.7233,3371.8326341665106
